Timestamp,Connected,Signal,Latency,Download,Upload
2026-02-01T08:48:34.624Z,true,85,14,0,5
2026-02-01T08:48:42.932Z,true,100,16,0,5
2026-02-01T08:48:50.646Z,true,100,27,0,5
2026-02-01T08:48:51.151Z,true,100,14,0,5
2026-02-01T08:48:58.615Z,true,95,14,0,5
2026-02-01T08:49:06.640Z,true,100,14,0,5
2026-02-01T08:49:14.658Z,true,100,14,0,5
2026-02-01T08:49:22.622Z,true,100,14,0,5
2026-02-01T08:49:30.633Z,true,95,16,0,5
2026-02-01T08:49:38.644Z,true,95,14,0,5
2026-02-01T08:49:46.608Z,true,90,18,0,5
2026-02-01T08:49:51.165Z,true,100,16,0,5
2026-02-01T08:49:54.605Z,true,100,14,0,5
2026-02-01T08:50:02.659Z,true,100,16,0,5
2026-02-01T08:50:10.616Z,true,100,28,0,5
2026-02-01T08:50:18.634Z,true,100,15,0,5
2026-02-01T08:50:26.595Z,true,95,19,0,5
2026-02-01T08:50:34.620Z,true,100,30,0,5
2026-02-01T08:50:42.650Z,true,100,26,0,5
2026-02-01T08:50:50.630Z,true,100,23,0,5
2026-02-01T08:50:51.115Z,true,100,14,0,5
2026-02-01T08:50:58.625Z,true,100,14,0,5
2026-02-01T08:51:06.611Z,true,95,14,0,5
2026-02-01T08:51:14.622Z,true,100,28,0,5
2026-02-01T08:51:22.650Z,true,100,28,0,5
2026-02-01T08:51:30.623Z,true,100,27,0,5
2026-02-01T08:51:38.608Z,true,100,14,0,5
2026-02-01T08:51:46.629Z,true,90,27,0,5
2026-02-01T08:51:51.152Z,true,100,22,0,5
2026-02-01T08:51:54.572Z,true,100,15,0,5
2026-02-01T08:52:02.609Z,true,100,14,0,5
2026-02-01T08:52:10.621Z,true,100,20,0,5
2026-02-01T08:52:18.595Z,true,100,14,0,5
2026-02-01T08:52:26.594Z,true,100,17,0,5
2026-02-01T08:52:34.609Z,true,100,15,0,5
2026-02-01T08:52:42.621Z,true,100,27,0,5
2026-02-01T08:52:50.663Z,true,95,33,0,5
2026-02-01T08:52:51.143Z,true,95,15,0,5
2026-02-01T08:52:58.613Z,true,100,15,0,5
2026-02-01T08:53:06.625Z,true,100,15,0,5
2026-02-01T08:53:14.618Z,true,100,15,0,5
2026-02-01T08:53:22.652Z,true,100,29,0,5
2026-02-01T08:53:30.624Z,true,100,32,0,5
2026-02-01T08:53:38.654Z,true,100,14,0,5
2026-02-01T08:53:46.650Z,true,100,34,0,5
2026-02-01T08:53:51.176Z,true,100,14,0,5
